id_establecimientos;razon.social;nombre.sucursal;direccion;ccz;barrio;cajas;cadena;long;lat;ciudad;depto;id.depto;localidad
705;Karine S.A.;Pigalle 2 Pocitos;Av.Brasil 2570 ;;Pocitos;1;Pigalle;-34,9077221;-56,1579642;Montevideo;Montevideo;1;1020
706;Natizei S.A;Pigalle 3 Pocitos;Benito Blanco 994 ;;Pocitos;1;Pigalle;-34,9136346;-56,1488298;Montevideo;Montevideo;1;1020
707;Alenstar S.A.;Pigalle Palermo;Carlos M. Morales 946 esq. Gonzalo Ramirez;;Palermo;1;Pigalle;-34,9152211;-56,1597292;Montevideo;Montevideo;1;1020
708;Alenstar S.A.;Pigalle Massone;Gabriel Pereira 3148 ;;Pocitos;1;Pigalle;-34,9088869;-56,1483066;Montevideo;Montevideo;1;1020
709;Alenstar S.A.;Pigalle Domar;Manuel Pagola 3295 ;;Pocitos;1;Pigalle;-34,9090111;-56,1453314;Montevideo;Montevideo;1;1020
710;Rampini e hijos Ltda.;Pigalle Hermes;Br. Espa�a 2508 ;;Pocitos;1;Pigalle;-34,9112534;-56,1624701;Montevideo;Montevideo;1;1020
711;Fredy Ubaldo Alonzo Brito;Super Quico ;11 esq. 22 y 24 ;;Interior;2;Sin Cadena;-34,7732896;-55,76257;Atl�ntida;Canelones;3;3621
712;Mercados Devoto S.A.;Devoto Express - Rivera II;Av. Gral. Rivera 2454 ;;Pocitos;3;Devoto Express;-34,9026848;-56,1624983;Montevideo;Montevideo;1;1020
714;Mercados Devoto S.A.;Devoto Express - 18 de Julio III;Av. 18 de Julio 1764 ;;Cord�n;3;Devoto Express;-34,9027942;-56,1781647;Montevideo;Montevideo;1;1020
715;Mercados Devoto S.A.;Devoto Express - L.A. de Herrera;luis alberto herrera 2940 ;;Larra�aga;3;Devoto Express;-34,8772147;-56,1567986;Montevideo;Montevideo;1;1020
716;Mercados Devoto S.A.;Devoto Express - Canelones;Canelones 1251 ;;Barrio Sur;3;Devoto Express;-34,9085305;-56,1887753;Montevideo;Montevideo;1;1020
717;Polakof y CIA SA;El Dorado - Las Toscas;Mario Ferreira esq. ente calle E y D;;Interior;5;El Dorado;-34,7704497;-55,7322023;Las Toscas;Canelones;3;3726
718;Polakof y CIA SA;El Dorado - Pinares ;Leandro Gomez esq. Lima;;Interior;6;El Dorado;-34,8994876;-54,9952163;Pinares;Canelones;10;10830
719;Polakof y CIA SA;El Dorado - Paso de los Toros;carlos berrutti esq. florencio sanchez;;Interior;6;El Dorado;-32,8107573;-56,512083;Paso de los toros;Tacuaremb�;18;18321
720;Mercados Devoto S.A.;Devoto Express - 21 Setiembre II;21 de setiembre 2998 ;;Punta Carretas;3;Devoto Express;-34,9152324;-56,1597424;Montevideo;Montevideo;1;1020
721;Mercados Devoto S.A.;Devoto Express - Carrasco ;Cno Carrasco 6955 ;;Carrasco Norte;3;Devoto Express;-34,8700963;-56,0751842;Montevideo;Montevideo;1;1020
722;Mercados Devoto S.A.;Devoto Express - Solymar ;Rambla Costanera esq. Saturno;;Interior;3;Devoto Express;-34,8381924;-55,9643136;Ciudad de la Costa;Canelones;3;3831
723;Mercados Devoto S.A.;Devoto Express - Libertador ;Av. Libertador 1895 ;1;Aguada;2;Devoto Express;-34,8962272;-56,1898754;Montevideo;Montevideo;1;1020
724;Mercados Devoto S.A.;Devoto Express - Portal Am�ricas ;Av. de las Americas 6000 ;;Interior;5;Devoto Express;-34,867331;-56,0311719;Ciudad de la Costa;Canelones;3;3831
725;Mercados Devoto S.A.;Devoto Express - WTC ;Luis A. de Herrera 1248 Torre 01. Local 002;;Pocitos;2;Devoto Express;-34,9044736;-56,1361532;Montevideo;Montevideo;1;1020
726;Mercados Devoto S.A.;Devoto Express - Yaguaron ;Venezuela 1409 ;1;Aguada;4;Devoto Express;-34,8936075;-56,1869573;Montevideo;Montevideo;1;1020
728;Polakof  y C�a.  S.A.;El Dorado- La Tuna ;Charruas Esq Bulevar Artigas ;;Interior;6;El Dorado;-34,7801127;-55,5629575;La Tuna ;Canelones ;1;1020
727;ERIZE S.A.;PLANETA BELLONI;Belloni 4575 ;;Piedras Blancas;6;Planeta ;-34,8280015;-56,1406854;Montevideo;Montevideo;3;3985
729;Mercados Devoto S.A.;Devoto Express - Oviedo;Oviedo 4723;;Malvin ;3;Devoto Express;-34,8870085;-56,1091871;Montevideo;Montevideo;1;1020
730;Mercados Devoto S.A.;Devoto Express-Misiones;Misiones 1373;;Ciudad Vieja;2;Devoto Express;-34,9074645;-56,2411353;Montevideo;Montevideo;1;1020
731;Mercados Devoto S.A.;Devoto Express- L.A.Herrera II;L.A.Herrera 1056;;Buceo;3;Devoto Express;-34,9087159;-56,1361425;Montevideo;Montevideo;1;1020
732;Mercados Devoto S.A.;Devoto Express-Sarand�;Sarandi 891;;Interior;3;Devoto Express;-34,9064134;-56,2033817;Maldonado ;Maldonado;10;10320
733;Mercados Devoto S.A.;Devoto Express-San Jose;San Jose 1085;;Centro ;2;Devoto Express;-34,9069038;-56,1949424;Montevideo;Montevideo;1;1020
734;Mercados Devoto S.A.;Devoto Express-Boulevard3;Av. Agraciada 3199;;Prado ;1;Devoto Express;-34,8722845;-56,2043715;Montevideo;Montevideo;1;1020
735;Henderson y Cia.  S.A.;Tienda Inglesa - Solanas;Ruta Interbalnearia Km118 y Ruta 12;;Interior;7;Tienda Inglesa;-34,87950612;-55,05286744;Punta del Este;Maldonado;10;10969
736;Henderson y Cia.  S.A.;Tienda Inglesa - Cord�n;Arenal Grande 1605;;Cord�n;4;Tienda Inglesa;-34,8995534;-56,17523074;Montevideo;Montevideo;1;1020
737;Henderson y Cia.  S.A.;Tienda Inglesa - La Barra;Ruta 10 km 110;;Interior;9;Tienda Inglesa;-34,91548744;-54,8556429;Punta del Este;Maldonado;10;10942
738;Alenstar S.A.;Pigalle Cielmar;Rincon 700 esq. Juncal;;Ciudad Vieja;1;Pigalle;-34,9054842;-56,2013238;Montevideo;Montevideo;1;1020
739;Alenstar S.A.;Pigalle Canad�;Av. Bolivia 1429;;Portones;1;Pigalle;-34,8930556;-56,0666667;Montevideo;Montevideo;1;1020
740;Alenstar S.A.;Pigalle Alvarez;Av. Garibaldi 2567 esq. Monte Caseros;;;1;Pigalle;-34,8838279;-56,1669688;Montevideo;Montevideo;1;1020
741;Alenstar S.A.;Pigalle Ponce;Rivera 2475 esq. Ponce;;Goes;1;Pigalle;-34,9026893;-56,1618548;Montevideo;Montevideo;1;1020
742;Alenstar S.A.;Pigalle Punta Carretas;21 de setiembre 2948 ;;Punta Carretas;1;Pigalle;-34,919649;-56,153426;Montevideo;Montevideo;1;1020
743;Mercados Devoto S.A.;Devoto Express Berro;Pedro Berro  1216;;Pocitos;4;Devoto Express;-34,9102768;-56,1479359;Montevideo;Montevideo;1;1020
744;Mercados Devoto S.A.;Devoto Express Rondeau;Av. Gral Rondeau 2132;1;Aguada;3;Devoto Express;-34,893882;-56,1616155;Montevideo;Montevideo;1;1020
745;Mercados Devoto S.A.;Devoto Express Av. Italia;Av. Italia 2484;;Tres Cruces;3;Devoto Express;-34,8937769;-56,1617219;Montevideo;Montevideo;1;1020
746;Coboe S.A.;Farmashop 85 85;Gral. Flores 405 1;;Interior;3;Farmashop;-34,4706418;-57,8454824;Colonia del Sacramento;Colonia;5;5320
747;Coboe S.A.;Farmashop 85;Gral. Flores 450 7;;Interior;3;Farmashop;-34,470609;-57,8450993;Colonia del Sacramento;Colonia;5;5320
748;Coboe S.A.;Farmashop 59;Avenida Italia 3949 1;;Malvin ;3;Farmashop;-34,8866011;-56,1262941;Montevideo;Montevideo;1;1020
749;Coboe S.A.;Farmashop 93;Dr. Pouey 607 1;;Interior;3;Farmashop;-34,727518;-56,2236033;Las Piedras;Canelones;3;3221
750;Coboe S.A.;Farmashop 96;Uruguay 697 1;;Interior;3;Farmashop;-31,3874193;-57,9673349;Salto;Salto;15;15120
751;Coboe S.A.;Farmashop 97;Sarand� 509 1;;Interior;3;Farmashop;-30,8993852;-55,5393625;Rivera;Rivera;13;13220
752;Coboe S.A.;Farmashop 98;Jose Batlle y Ordo�ez 181 1;;Interior;3;Farmashop;-34,5311421;-56,28309;Las Piedras;Canelones;3;3221
753;Coboe S.A.;BELA 1;Av. 8 de Octubre 3656;;Uni�n;2;Farmashop;-34,8764572;-56,14269;Montevideo;Montevideo;1;1020
754;Coboe S.A.;BELA 2;Av. Jos� Belloni  4281;;Piedras Blancas;2;Farmashop;-34,825498;-56,141113;Montevideo;Montevideo;1;1020
755;Coboe S.A.;BELA 3;18 de Julio  987;;Centro;2;Farmashop;-34,906107;-56,194901;Montevideo;Montevideo;1;1020
756;Polakof  y C�a.  S.A.;El Dorado - Dolores;Carlos P. Puig esquina Adalberto Schuster 1410;;Interior;7;El Dorado;-33,5310745;-58,2157148;Dolores;Soriano;17;17321
757;Polakof  y C�a.  S.A.;El Dorado - Sarand� Grande;Libertad 1034;;Interior;4;El Dorado;-34,094817;-56,220295;Sarand� Grande;Florida;8;8421
758;Polakof  y C�a.  S.A.;El Dorado - Las Flores;Ruta 10 y Las Violetas 560;;Interior;4;El Dorado;-34,813007;-55,330896;Las Flores;Maldonado;10;10945
759;Polakof  y C�a.  S.A.;El Dorado - San Carlos 3;Wilson Ferreira Aldunate esquina Islas Canarias 352;;Interior;3;El Dorado;-34,780476;-54,92078;San Carlos;Maldonado;10;10321
760;DALTIRO S.A.;El Clon - Cerro Food;Carlos Ma Ramirez  1661;;Cerro;3;El Clon;-34,87414;-56,25056;Montevideo;Montevideo;1;1020
761;DALTIRO S.A.;El Clon - Tres Cruces;8 de Octubre  2569;;Tres Cruces;3;El Clon;-34,891519;-56,1621;Montevideo;Montevideo;1;1020
762;DALTIRO S.A.;El Clon - Miro;8 de octubre  3802;;Uni�n;6;El Clon;-34,874647;-56,13961;Montevideo;Montevideo;1;1020
763;DALTIRO S.A.;El Clon - Iguazu;18 de julio 1265;;Centro;6;El Clon;-34,905699;-56,18876;Montevideo;Montevideo;1;1020
764;DALTIRO S.A.;El Clon - Iguazu Food;18 de julio 1267;;Centro;2;El Clon;-34,9056;-56,18874;Montevideo;Montevideo;1;1020
