id_Estab,cadena,ciudad,barrio,Pre_Var12Acum,Ind_Var12Acum
2,Sin Cadena,Montevideo,La Teja,79.51695368520927,38.09746765320592
3,Sin Cadena,Montevideo,Belvedere,79.51695368520927,38.09746765320592
4,Sin Cadena,Montevideo,La Teja,79.6075314793718,38.09746765320592
5,El Clon,Montevideo,Unión,77.07136329179389,50.23335056775189
6,El Clon,Montevideo,Cordón,47.705231839511676,50.23335056775189
10,El Clon,Montevideo,Aguada,79.23623659800026,50.23335056775189
12,El Clon,Montevideo,Cerro ,150.85063379244795,50.23335056775189
13,El Clon,Montevideo,Cordón,142.29438793949095,50.23335056775189
14,El Clon,Maldonado,Interior,86.77616520792438,50.23335056775189
15,Devoto,Montevideo,Cerrito,91.60562720013621,50.23335056775189
16,Disco,Montevideo,Pocitos,87.00008754685749,50.23335056775189
17,Devoto,Montevideo,Prado ,86.78619927064486,50.23335056775189
18,Devoto,Montevideo,Malvín,88.3192349694434,50.23335056775189
19,Disco,Montevideo,Cordón,90.92474813591447,50.23335056775189
20,Devoto,Ciudad de la Costa,Interior,90.00861297574194,50.23335056775189
21,Devoto,Las Piedras,Interior,97.82559904061718,50.23335056775189
22,Devoto,Montevideo,Punta Gorda,88.31923496944347,50.23335056775189
23,Disco,Canelones,Interior,99.62721420918416,50.23335056775189
24,Devoto,Montevideo,Col�n ,89.07384212427625,50.23335056775189
25,Disco,Montevideo,Reducto,95.79833204431378,50.23335056775189
26,Devoto,Montevideo,Carrasco,78.73523176059656,50.23335056775189
27,Disco,Montevideo,Parque Batlle,96.03029022423384,50.23335056775189
28,Devoto,Las Piedras,Interior,95.90892964926665,50.23335056775189
29,Disco,Montevideo,Punta de Rieles ,95.82922197709559,50.23335056775189
30,Disco,Montevideo,Palermo,95.77031422436426,50.23335056775189
31,Devoto,Montevideo,Unión,94.83551015543463,50.23335056775189
32,Disco,Montevideo,Buceo,96.03029022423384,50.23335056775189
34,Disco,Ciudad de la Costa,Interior,88.84637866411025,50.23335056775189
35,Disco,Montevideo,Maro�as,95.82922197709559,50.23335056775189
36,Devoto,Montevideo,Cordón,94.83551015543468,50.23335056775189
37,Disco,Montevideo,Pocitos,89.14870068329277,50.23335056775189
38,Disco,Montevideo,Barrio Sur,95.77031422436428,50.23335056775189
39,Devoto,Montevideo,Punta Carretas,84.47182019585615,50.23335056775189
40,Devoto,Montevideo,Belvedere,88.86277901653361,50.23335056775189
41,Devoto,Montevideo,Carrasco,84.47182019585615,50.23335056775189
42,Disco,Montevideo,Malvín,88.4520203861167,50.23335056775189
43,Devoto,Montevideo,Malvín,86.76147198597933,50.23335056775189
44,Disco,Montevideo,Parque Batlle ,88.59135644555194,50.23335056775189
45,Disco,Montevideo,Cordón,96.03029022423384,50.23335056775189
46,Disco,Montevideo,Pocitos,88.45202038611673,50.23335056775189
47,Disco,Ciudad de la Costa,Interior,88.84637866411025,50.23335056775189
48,Disco,Montevideo,Centro,96.03029022423384,50.23335056775189
49,Disco,Punta del Este,Interior,75.38026410618728,50.23335056775189
51,Disco,Atl�ntida,Interior,82.16706094614459,50.23335056775189
52,Devoto,Montevideo,Pocitos,84.47182019585615,50.23335056775189
53,Disco,Montevideo,Pocitos,86.12845134152917,50.23335056775189
54,Disco,Punta del Este,Interior,74.86645615683942,50.23335056775189
55,Devoto,Pando,Interior,90.34184430302419,50.23335056775189
56,Disco,Montevideo,Bella Vista,85.01132277903017,50.23335056775189
57,Devoto,Montevideo,Prado,86.24530934368838,50.23335056775189
58,Disco,Montevideo,La Blanqueada,84.9876953137472,50.23335056775189
59,Devoto,Montevideo,Atahualpa,89.10149491596738,50.23335056775189
60,Devoto,Montevideo,Carrasco,74.35491050576101,50.23335056775189
61,Disco,Montevideo,Punta Carretas,75.8755777320016,50.23335056775189
62,Devoto,Punta del Este,Interior,65.5150100809051,50.23335056775189
63,Disco,Montevideo,Buceo,77.46201297087761,50.23335056775189
64,Devoto,Piri�polis,Interior,66.89286139969745,50.23335056775189
65,Devoto,Montevideo,Sayago,76.66283696972226,50.23335056775189
68,Ta - Ta,Montevideo,Cerro,70.78610266334904,39.157391942015416
69,Ta - Ta,San Jos� de Mayo,Interior,84.57472333732004,39.157391942015416
70,Ta - Ta,Melo,Interior,75.49315663033578,39.157391942015416
71,Ta - Ta,Montevideo,Malvín Norte,70.98519914965304,39.157391942015416
72,Ta - Ta,Pando,Interior,58.080066245403714,39.157391942015416
74,Ta - Ta,Durazno,Interior,84.22506930738251,39.157391942015416
75,Ta - Ta,Montevideo,Col�n Centro y Noroeste,65.64818539376063,39.157391942015416
77,Ta - Ta,Paysand�,Interior,69.69765834646012,39.157391942015416
78,Ta - Ta,Young,Interior,59.924223849594995,39.157391942015416
79,Ta - Ta,Fray Bentos,Interior,61.03968331861156,39.157391942015416
80,Ta - Ta,Montevideo,Unión,71.11436983175541,39.157391942015416
81,Ta - Ta,Paysand�,Interior,74.43460823632986,39.157391942015416
82,Ta - Ta,Rosario,Interior,71.25904622139228,39.157391942015416
83,Ta - Ta,Colonia del Sacramento,Interior,70.055943423255,39.157391942015416
84,Ta - Ta,Juan Lacaze,Interior,63.71426040071386,39.157391942015416
85,Ta - Ta,Las Piedras,Interior,63.12503466131152,39.157391942015416
86,Ta - Ta,Melo,Interior,63.4275606885295,39.157391942015416
87,Ta - Ta,Mercedes,Interior,64.25985734776118,39.157391942015416
88,Ta - Ta,Minas,Interior,65.49838262274712,39.157391942015416
89,Ta - Ta,Montevideo,Centro,83.14038902274194,39.157391942015416
90,Ta - Ta,Montevideo,Centro,96.20419563228127,39.157391942015416
92,Ta - Ta,Canelones,Interior,77.96300476695845,39.157391942015416
93,Ta - Ta,Carmelo,Interior,71.85750268364323,39.157391942015416
94,Ta - Ta,Montevideo,Paso Molino,67.99408818457997,39.157391942015416
95,Ta - Ta,Paysand�,Interior,61.24125589718557,39.157391942015416
97,Ta - Ta,Rocha,Interior,70.2990579956872,39.157391942015416
98,Ta - Ta,Tacuaremb�,Interior,77.66914109385039,39.157391942015416
99,Ta - Ta,Trinidad,Interior,69.96991757584627,39.157391942015416
100,Ta - Ta,Artigas,Interior,68.03922224679087,39.157391942015416
101,Ta - Ta,Salto,Interior,67.03173586665527,39.157391942015416
102,Ta - Ta,San Carlos,Interior,66.00465977992367,39.157391942015416
103,Ta - Ta,Treinta y Tres,Interior,68.15725269004807,39.157391942015416
104,Ta - Ta,Montevideo,Cordón,139.57991467016734,39.157391942015416
105,Ta - Ta,Paysand�,Interior,73.54867590236547,39.157391942015416
106,Ta - Ta,Rivera,Interior,67.71233239949734,39.157391942015416
108,El Dorado,Aigu�,Interior,72.39032085740043,50.23335056775189
109,El Dorado,Chuy,Interior,75.7741780395095,50.23335056775189
110,El Dorado,La Pedrera,Interior,62.397033752831874,50.23335056775189
111,El Dorado,Maldonado,Interior,68.65710651753807,50.23335056775189
112,El Dorado,Maldonado,Interior,73.1810982364196,50.23335056775189
115,El Dorado,Maldonado,Interior,76.2884791705683,50.23335056775189
117,El Dorado,Treinta y Tres,Interior,75.72876607549905,50.23335056775189
118,El Dorado,Balneario Sol�s,Interior,69.43807832176509,50.23335056775189
120,El Dorado,Las Piedras,Interior,75.44242574802607,50.23335056775189
121,El Dorado,Lascano,Interior,73.82635733958402,50.23335056775189
