id_Estab,razon.social,nombre.sucursal,direccion,ccz,barrio,cajas,cadena,long,lat,ciudad,depto,id.depto,localidad,lat_rad,lon_rad,secc,test
815,Farmacia Cranwell SA,FarmaGlobal 8,Masini 3379,,Pocitos,1.0,FarmaGlobal,-34.9120735,-56.1479158,Montevideo,Montevideo,1.0,1020.0,-0.979965998842546,-0.6093306312732605,,
816,Brocas SA,FarmaGlobal 9,Rivera 2690,,Parque Batlle,1.0,FarmaGlobal,-34.9032667,-56.156407,Montevideo,Montevideo,1.0,1020.0,-0.9801141982399914,-0.609176923616696,,
817,16 de diciembre srl,FarmaGlobal 10,Luis Alberto Herrera 1205,,Pocitos,1.0,FarmaGlobal,-34.9055323,-56.1371219,Montevideo,Montevideo,1.0,1020.0,-0.9797776097484149,-0.609216465796229,,
818,Farmacia la espa�ola srl,FarmaGlobal 11,Giannatasio  21500,,Interior,1.0,FarmaGlobal,-34.810584,-55.937609,Lagomar,Canelones,3.0,3831.0,-0.9762954527432128,-0.6075593053420577,,
819,Quintela ltda,FarmaGlobal 12,Av Italia 2941,,La Blanqueada,1.0,FarmaGlobal,-34.8900331,-56.1509527,Montevideo,Montevideo,1.0,1020.0,-0.9800190027465997,-0.608945953724804,,
820,Farmacia este II srl,FarmaGlobal 13,Artigas 22,,Interior,1.0,FarmaGlobal,-34.7380321,-56.09488065,Atl�ntida,Canelones,3.0,3621.0,-0.979040360855757,-0.60629303580848,,
821,notari y cia ltda,FarmaGlobal 14,Alfredo Baldomir 2353,,Parque Rod�,1.0,FarmaGlobal,-34.9087996,-56.1631588,Montevideo,Montevideo,1.0,1020.0,-0.9802320393804275,-0.6092734909388795,,
822,gerymar srl,FarmaGlobal 15,Av Italia 3250,,Parque Batlle,1.0,FarmaGlobal,-34.8878853,-56.1446578,Montevideo,Montevideo,1.0,1020.0,-0.979909136015516,-0.6089084675431297,,
823,USSEL S.A.,Frog 5,Ellauri  668,,Trouville,3.0,Frog,-34.9186621,-56.1557195,Montevideo,Montevideo,1.0,1020.0,-0.9801021991013837,-0.6094456240363574,,
831,MALBA TAHAN LTDA,MALBA TAHAN,Carlos de la Vega 5201 1,,Nuevo Par�s,6.0,Sin Cadena,-34.8459524,-56.2435984,Montevideo,Montevideo,1.0,1020.0,-0.9816359752494147,-0.6081766003732202,,
832,Galarina S.A.,PedidosYa Market Carrasco,L�bano 1428,,Carrasco,1.0,PedidosYa,-34.8939111,-56.0713724,Montevideo,Montevideo,1.0,1020.0,-0.978630064491875,-0.6090136375931963,,
833,Galarina S.A.,PedidosYa Market,Domingo Arambur� 2029 Bis 2029,,La Blanqueada,1.0,PedidosYa,-34.8833263,-56.1733648,Montevideo,Montevideo,1.0,1020.0,-0.980410167683886,-0.6088288979825313,,
834,Galarina S.A.,PedidosYa Market Centro,Gonz�lo Ram�rez  1382,,Parque Rod�,1.0,PedidosYa,-34.9124243,-56.1853931,Montevideo,Montevideo,1.0,1020.0,-0.9806201011223036,-0.6093367538882765,,
835,Galarina S.A.,PedidosYa Market Pocitos,Rivera  2693,,Pocitos,1.0,PedidosYa,-34.9030905,-56.1565055,Montevideo,Montevideo,1.0,1020.0,-0.9801159173893046,-0.6091738483465539,,
836,Supermercado El Palmar SRL,Supermercado El Palmar,19 de abril  0,,Interior,5.0,Sin Cadena,-34.19847986,-53.85911101,Castillos,Rocha,14.0,14421.0,-0.9400188193216286,-0.5968760727339695,,
837,Polakof  y C�a.  S.A.,Super Eco Varela,Dr. Podest� Carnelli 0,,Interior,2.0,El Dorado,-33.45550221,-54.53604063,Jos� Pedro Varela,Lavalleja,9.0,9522.0,-0.9518334699949027,-0.5839086664727394,,
838,Polakof  y C�a.  S.A.,Winmart,"Ruta 39, km. 7200 0",,Interior,3.0,El Dorado,-34.88059718,-54.9491274,Maldonado,Maldonado,10.0,10320.0,-0.9590431942278312,-0.6087812658528492,,
842,Polakof  y C�a.  S.A.,El Dorado Mercedes,Col�n y Gimenez,,Interior,4.0,El Dorado,-33.24808554,-58.03092,Mercedes,Soriano,17.0,17220.0,-1.0128306219614278,-0.5802885626577168,,
843,Coboe S.A.,Bela 4,Gral Artigas 718,,Interior,2.0,Farmashop,-34.72707291,-56.21345077,Las Piedras,Canelones,3.0,3221.0,-0.9811097998442417,-0.6061017618596284,,
844,Coboe S.A.,Bela 5,Juan Jose de Amezaga 1756,,La Comercial,2.0,Farmashop,-34.88746,-56.18026,Montevideo,Montevideo,1.0,1020.0,-0.9805305116264694,-0.6089010446578209,,
845,Coboe S.A.,Bela 6,8 de Octubre 2190,,Interior,2.0,Farmashop,-31.3853029,-57.9457648,Salto,Salto,15.0,15120.0,-1.0113443833462334,-0.5477768723407246,,
846,Coboe S.A.,Bela 7,Sarand� 917,,Interior,2.0,Farmashop,-34.9068681,-54.9578569,Maldonado,Maldonado,10.0,10320.0,-0.9591955527448841,-0.6092397799043772,,
847,Polakof  y C�a.  S.A.,El Dorado Vialidad,Juana Carnenas esq. Maria Manduy,,Interior,5.0,El Dorado,-34.8972772,-54.947808,Maldonado,Maldonado,10.0,10320.0,-0.9590201663536804,-0.6090723871211476,,
848,Coboe S.A.,Bela 8,Avenida General Eugenio Garzon 2003,,Col�n ,2.0,Farmashop,-34.80282116,-56.22394539,Montevideo,Montevideo,1.0,1020.0,-0.9812929655169873,-0.6074238182247522,,
849,Coboe S.A.,Bela 9,Fernandez Crespo 1696,,Cordon,2.0,Farmashop,-34.89923941,-56.17669559,Montevideo,Montevideo,1.0,1020.0,-0.9804683009360785,-0.6091066341462633,,
850,Coboe S.A.,Farmashop 99,Canelones 1931,,Palermo,1.0,Farmashop,-34.90739161,-56.17358959,Montevideo,Montevideo,1.0,1020.0,-0.9804140910095116,-0.6092489168775443,,
851,Coboe S.A.,Farmashop 100,Uruguay 520,,Interior,2.0,Farmashop,-33.99517033,-58.28411794,Carmelo,Colonia,5.0,5321.0,-1.017249759673695,-0.5933276520347872,,
852, PEREZ VAROLI SILVIA TERESITA,Supermercado La Ranita,Domingo Arena 4470 10,,Piedras Blancas,5.0,Sin Cadena,-34.818038,-56.144335,Montevideo,Montevideo,1.0,1020.0,-0.9799035020926905,-0.6076894021845014,,
854,Coboe S.A.,Farmashop 105,25 de Mayo 572,,Interior,2.0,Farmashop,-33.99517033,-58.28411794,Minas,Lavalleja,9.0,9220.0,-1.017249759673695,-0.5933276520347872,,
857,Polakof  y C�a.  S.A.,El Dorado Melo,Castellanos casi Gral Mu�oz 0,,Interior,3.0,El Dorado,-32.3740905,-54.1602717,Melo,Cerro Largo,4.0,4220.0,-0.9452750649397066,-0.5650344715636173,,
858,Coboe S.A.,Farmashop 105,Jos� Pedro Varela 552,,Interior,2.0,Farmashop,-34.46366846,-57.83839381,Colonia del Sacramento,Colonia,5.0,5320.0,-1.0094704060496076,-0.6015044869427237,,
859,Coboe S.A.,Farmashop 107,Tolentino Gonzalez 376,,Interior,2.0,Farmashop,-33.99517033,-58.28411794,Canelones,Canelones,3.0,3320.0,-1.017249759673695,-0.5933276520347872,,
860,Polakof  y C�a.  S.A.,El Dorado Cardona,Libertad y Florencio S�nchez,,Interior,4.0,El Dorado,-33.8731475,-57.3671342,Cardona,Soriano,17.0,17521.0,-1.0012453742234433,-0.591197951888686,,
861,Polakof  y C�a.  S.A.,El Dorado Paso de los Toros 2,,,Interior,2.0,El Dorado,-32.809521,-56.520627,Paso de los toros,Tacuaremb�,18.0,18321.0,-0.986471036441605,-0.5726341674522224,,
862,Coboe S.A.,Farmashop 106,Jos� Pedro Ramirez  200,,Interior,2.0,Farmashop,-34.48371498,-54.33359421,Rocha,Rocha,14.0,14320.0,-0.9483001134070274,-0.6018543647202906,,
868,Coboe S.A.,Farmashop 108,Colonia 1800,,Cordon,2.0,Farmashop,-34.90148762,-56.17755926,Montevideo,Montevideo,1.0,1020.0,-0.9804833748212293,-0.6091458728130394,,
869,Coboe S.A.,Bela 10,Gral Artigas 863,,Interior,2.0,Farmashop,-34.71738036,-55.96157975,Pando,Canelones,3.0,3322.0,-0.9767138212548852,-0.6059325949492143,,
870,Coboe S.A.,Bela 11,GIANNATASSIO 15000,,Interior,2.0,Farmashop,-34.83745792,-55.98595298,Lagomar,Canelones,3.0,3831.0,-0.9771392143677311,-0.6080283437289753,,
871,Coboe S.A.,Bela 12,Camino Maldonado 6767,,Punta de Rieles ,2.0,Farmashop,-34.8247235,-56.10251642,Montevideo,Montevideo,1.0,1020.0,-0.9791736301831819,-0.6078060861716434,,
872,Coboe S.A.,Bela 13,18 de julio 20400,,Interior,2.0,Farmashop,-34.79254403,-54.91892732,San Carlos,Maldonado,10.0,10321.0,-0.9585161033974655,-0.6072444484685968,,
873,Coboe S.A.,Farmashop 101,Artigas 352,,Interior,2.0,Farmashop,-33.376214,-56.526547,Durazno,Durazno,6.0,6220.0,-0.9865743599333231,-0.5825248261502266,,
874,Coboe S.A.,Farmashop 104,Luis Alberto de Herrera 4131,,Prado ,5.0,Farmashop,-33.376214,-56.526547,Montevideo,Montevideo,1.0,1020.0,-0.9865743599333231,-0.5825248261502266,,
875,FARMASHOP,Farmashop 109,Soriano 1101,,Centro,2.0,Farmashop,-34.907981,-56.19245,Montevideo,Montevideo,1.0,1020.0,-0.9807432672622877,-0.6092592036736226,,
876,FARMASHOP,Farmashop 110,Lizarza  678,,Interior,2.0,Farmashop,-34.777044,-55.22551,Pan de Az�car,Maldonado,10.0,10522.0,-0.9638669805930536,-0.6069739219109388,,
877,Polakof  y C�a.  S.A.,El Dorado Paysand�,Av. Boulevard Artigas y Horacio Meriggi s/N 0,,Interior,5.0,El Dorado,-32.308379,-58.06968,Paysand�,Paysand�,11.0,11120.0,-1.0135071115795007,-0.5638875895321931,,
878,Polakof  y C�a.  S.A.,El Dorado Fray Bentos,Zorrilla de San Martin entre Roberto Young y Enrique Beaulieu 0,,Interior,4.0,El Dorado,-33.121415,-58.30487,Fray Bentos,R�o Negro,12.0,12320.0,-1.0176119514472663,-0.5780777446694376,,
879,Polakof  y C�a.  S.A.,El Dorado Terra Bio,Dodera casi Ituzaing� 0,,Interior,1.0,El Dorado,-34.907473,-54.95959,Maldonado,Maldonado,10.0,10320.0,-0.9592258010461503,-0.6092503374010226,,
