id_Producto,Año,Mes,Cod_AnoMes,PrEsp,Precio,Pre_Var,Ind_Var12,Pre_Var12Acum,Ind_Var12Acum,producto,marca,especificacion,nombre,Producto,Subclase,Clase,Grupo,Division,Denominación Division,Denominación Grupo,Denominación Clase
6,2017,12,201712,False,61.49894736842106,1.0,1.0,1.0,1.0,Aceite de maíz,Salad,Envase 900 cc,Aceite de maíz Salad Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
6,2018,12,201812,False,44.164918032786886,0.7181410401743725,1.079601990049751,0.7181410401743725,1.079601990049751,Aceite de maíz,Salad,Envase 900 cc,Aceite de maíz Salad Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
6,2019,12,201912,False,37.90048192771085,0.8581580950648322,1.0878791126353013,0.6162785470239167,1.1744764549346287,Aceite de maíz,Salad,Envase 900 cc,Aceite de maíz Salad Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
6,2020,12,202012,False,57.294000000000004,1.5116958172004042,1.094128657275145,0.9316257017663976,1.2850283466388976,Aceite de maíz,Salad,Envase 900 cc,Aceite de maíz Salad Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
6,2021,12,202112,False,65.40555555555555,1.1415777490759162,1.07959303110791,1.063523171603755,1.3873076478074737,Aceite de maíz,Salad,Envase 900 cc,Aceite de maíz Salad Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
6,2022,12,202212,False,35.5025641025641,0.5428065521499651,1.0829130136,0.5772873459098299,1.5023335056775189,Aceite de maíz,Salad,Envase 900 cc,Aceite de maíz Salad Envase 900 cc,01151301,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
7,2017,12,201712,False,38.710945273631836,1.0,1.0,1.0,1.0,Aceite de soja,Condesa,Envase 900 cc,Aceite de soja Condesa Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
7,2018,12,201812,False,39.72559241706161,1.0262108593902228,1.079601990049751,1.0262108593902228,1.079601990049751,Aceite de soja,Condesa,Envase 900 cc,Aceite de soja Condesa Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
7,2019,12,201912,False,41.62390243902439,1.0477855686086,1.0878791126353013,1.0752489288185045,1.1744764549346287,Aceite de soja,Condesa,Envase 900 cc,Aceite de soja Condesa Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
7,2020,12,202012,False,57.3597131147541,1.3780474620029053,1.094128657275145,1.4817440573796827,1.2850283466388976,Aceite de soja,Condesa,Envase 900 cc,Aceite de soja Condesa Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
7,2021,12,202112,False,87.65190114068442,1.5281091271381995,1.07959303110791,2.2642666181646813,1.3873076478074737,Aceite de soja,Condesa,Envase 900 cc,Aceite de soja Condesa Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
7,2022,12,202212,False,85.53133903133903,0.9758070038213796,1.0829130136,2.2094872245240453,1.5023335056775189,Aceite de soja,Condesa,Envase 900 cc,Aceite de soja Condesa Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
8,2017,12,201712,False,40.150485294117644,1.0,1.0,1.0,1.0,Aceite de soja,Río de la Plata,Envase 900 cc,Aceite de soja Río de la Plata Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
8,2018,12,201812,False,40.51723754789272,1.009134441366984,1.079601990049751,1.009134441366984,1.079601990049751,Aceite de soja,Río de la Plata,Envase 900 cc,Aceite de soja Río de la Plata Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
8,2019,12,201912,False,45.240921708185056,1.1165845562572914,1.0878791126353013,1.1267839324177036,1.1744764549346287,Aceite de soja,Río de la Plata,Envase 900 cc,Aceite de soja Río de la Plata Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
8,2020,12,202012,False,66.17593471810089,1.462745059549223,1.094128657275145,1.6481976303234416,1.2850283466388976,Aceite de soja,Río de la Plata,Envase 900 cc,Aceite de soja Río de la Plata Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
8,2021,12,202112,False,89.31818181818181,1.349707899082397,1.07959303110791,2.2245853608964374,1.3873076478074737,Aceite de soja,Río de la Plata,Envase 900 cc,Aceite de soja Río de la Plata Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
8,2022,12,202212,False,96.56786632390745,1.081166951209142,1.0829130136,2.40514817234489,1.5023335056775189,Aceite de soja,Río de la Plata,Envase 900 cc,Aceite de soja Río de la Plata Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
9,2017,12,201712,False,36.32888888888888,1.0,1.0,1.0,1.0,Aceite de soja,Salad,Envase 900 cc,Aceite de soja Salad Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
9,2018,12,201812,False,36.78061224489796,1.0124342739297825,1.079601990049751,1.0124342739297825,1.079601990049751,Aceite de soja,Salad,Envase 900 cc,Aceite de soja Salad Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
9,2019,12,201912,False,41.24390243902439,1.1213489912676904,1.0878791126353013,1.1352921517959982,1.1744764549346287,Aceite de soja,Salad,Envase 900 cc,Aceite de soja Salad Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
9,2020,12,202012,False,56.753211009174315,1.376038823995356,1.094128657275145,1.5622060774485227,1.2850283466388976,Aceite de soja,Salad,Envase 900 cc,Aceite de soja Salad Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
9,2021,12,202112,False,74.321875,1.3095624666591228,1.07959303110791,2.04580644421336,1.3873076478074737,Aceite de soja,Salad,Envase 900 cc,Aceite de soja Salad Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
9,2022,12,202212,False,73.57745098039216,0.989983783110856,1.0829130136,2.0253152031549106,1.5023335056775189,Aceite de soja,Salad,Envase 900 cc,Aceite de soja Salad Envase 900 cc,01151401,01151,0115,011,01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,Alimentos,Aceites y grasas
10,2017,12,201712,False,33.155837563451776,1.0,1.0,1.0,1.0,Agua de mesa con gas,Matutina,Envase 2 lt.,Agua de mesa con gas Matutina Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
10,2018,12,201812,False,35.739285714285714,1.0779183498498532,1.079601990049751,1.0779183498498532,1.079601990049751,Agua de mesa con gas,Matutina,Envase 2 lt.,Agua de mesa con gas Matutina Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
10,2019,12,201912,False,34.04432989690722,0.9525744350088959,1.0878791126353013,1.0267974630939454,1.1744764549346287,Agua de mesa con gas,Matutina,Envase 2 lt.,Agua de mesa con gas Matutina Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
10,2020,12,202012,False,43.38261044176707,1.274297675211642,1.094128657275145,1.3084456201338264,1.2850283466388976,Agua de mesa con gas,Matutina,Envase 2 lt.,Agua de mesa con gas Matutina Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
10,2021,12,202112,False,47.73996677740864,1.1004401600380986,1.07959303110791,1.4398661076212171,1.3873076478074737,Agua de mesa con gas,Matutina,Envase 2 lt.,Agua de mesa con gas Matutina Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
10,2022,12,202212,False,50.958959537572255,1.0674276288287428,1.0829130136,1.5369528650889872,1.5023335056775189,Agua de mesa con gas,Matutina,Envase 2 lt.,Agua de mesa con gas Matutina Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
11,2017,12,201712,False,40.66547619047619,1.0,1.0,1.0,1.0,Agua de mesa con gas,Nativa,Envase 2 lt.,Agua de mesa con gas Nativa Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
11,2018,12,201812,False,43.50173410404624,1.0697460888023316,1.079601990049751,1.0697460888023316,1.079601990049751,Agua de mesa con gas,Nativa,Envase 2 lt.,Agua de mesa con gas Nativa Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
11,2019,12,201912,False,49.51907514450867,1.1383241648728375,1.0878791126353013,1.2177178231618984,1.1744764549346287,Agua de mesa con gas,Nativa,Envase 2 lt.,Agua de mesa con gas Nativa Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
11,2020,12,202012,False,58.452941176470596,1.1804126188926336,1.094128657275145,1.4374094847107732,1.2850283466388976,Agua de mesa con gas,Nativa,Envase 2 lt.,Agua de mesa con gas Nativa Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
11,2021,12,202112,False,59.211312217194575,1.0129740441705823,1.07959303110791,1.4560584988566247,1.3873076478074737,Agua de mesa con gas,Nativa,Envase 2 lt.,Agua de mesa con gas Nativa Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
11,2022,12,202212,False,64.30278884462152,1.0859882417189264,1.0829130136,1.5812624090132053,1.5023335056775189,Agua de mesa con gas,Nativa,Envase 2 lt.,Agua de mesa con gas Nativa Envase 2 lt.,11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
12,2017,12,201712,False,41.36218120805369,1.0,1.0,1.0,1.0,Agua de mesa con gas,Salus,"Envase 2,25 lt.","Agua de mesa con gas Salus Envase 2,25 lt.",11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
12,2018,12,201812,False,45.17235924932976,1.0921174350576603,1.079601990049751,1.0921174350576603,1.079601990049751,Agua de mesa con gas,Salus,"Envase 2,25 lt.","Agua de mesa con gas Salus Envase 2,25 lt.",11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
12,2019,12,201912,False,50.15637837837838,1.1103333811178473,1.0878791126353013,1.212614444245323,1.1744764549346287,Agua de mesa con gas,Salus,"Envase 2,25 lt.","Agua de mesa con gas Salus Envase 2,25 lt.",11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
12,2020,12,202012,False,59.16228412256267,1.1795565396736578,1.094128657275145,1.4303472978123088,1.2850283466388976,Agua de mesa con gas,Salus,"Envase 2,25 lt.","Agua de mesa con gas Salus Envase 2,25 lt.",11111030,11111,1111,111,11,RESTAURANTES Y SERVICIOS DE,Servicios de alimentos y bebidas,"Restaurantes, cafés y similares"
